course_id,title,title_url,image,summary,rating,review,duration,no_of_lectures,level_course,author,course_card_rating,price
,"Professional Logo Design in Adobe Illustrator
Learn how to design a logo that stands out from the crowd.Rating: 4.5 out of 510016 reviews7.5 total hours45 lecturesAll Levels",https://www.udemy.com/course/professional-logo-design-crash-course/,https://img-c.udemycdn.com/course/240x135/399938_e897_5.jpg,Learn how to design a logo that stands out from the crowd.,Rating: 4.5 out of 5,10016 reviews,7.5 total hours,45 lectures,All Levels,Rawson Uddin,"-10,016",Free
,"Photoshop Fundamentals
The power of the digital art standard at your finger tipsRating: 4.6 out of 57453 reviews41 total mins7 lecturesBeginner",https://www.udemy.com/course/photoshop-fundamentals-in-one-hour/,https://img-c.udemycdn.com/course/240x135/1298462_38dd.jpg,The power of the digital art standard at your finger tips,Rating: 4.6 out of 5,7453 reviews,41 total mins,7 lectures,Beginner,Hardy Fowler,"-7,453",Free
,"How to Design & Prototype in Adobe XD
Everything you need to know about Adobe XD to start designing & prototyping awesome apps.Rating: 4.3 out of 57272 reviews1 total hour21 lecturesAll Levels",https://www.udemy.com/course/adobe-xd-experience-design/,https://img-c.udemycdn.com/course/240x135/852826_6b02_4.jpg,Everything you need to know about Adobe XD to start designing & prototyping awesome apps.,Rating: 4.3 out of 5,7272 reviews,1 total hour,21 lectures,All Levels,Daniel White,"-7,272",Free
,"AutoCAD 2D and 3D practice drawings
A collection of AutoCAD practice drawings and projectsRating: 4.5 out of 56920 reviews6 total hours42 lecturesAll Levels",https://www.udemy.com/course/autocad-2d-and-3d-practice-drawings/,https://img-c.udemycdn.com/course/240x135/719318_9c19_2.jpg,A collection of AutoCAD practice drawings and projects,Rating: 4.5 out of 5,6920 reviews,6 total hours,42 lectures,All Levels,Jaiprakash Pandey,"-6,920",Free
,"Photoshop for Web Design Beginners
Perfect Photoshop course for beginner web designers who want learn to how to make a clean simple web page design.Rating: 4.3 out of 56548 reviews2 total hours19 lecturesAll Levels",https://www.udemy.com/course/photoshop-for-web-design-beginners/,https://img-c.udemycdn.com/course/240x135/15639_13f2_8.jpg,Perfect Photoshop course for beginner web designers who want learn to how to make a clean simple web page design.,Rating: 4.3 out of 5,6548 reviews,2 total hours,19 lectures,All Levels,Carl Heaton,"-6,548",Free
,"Art Fundamentals - Building Blocks of Digital Painting
A beginner's guide to the building blocks of digital artRating: 4.7 out of 56514 reviews1 total hour9 lecturesBeginner",https://www.udemy.com/course/art-fundamentals-in-one-hour/,https://img-c.udemycdn.com/course/240x135/1298438_2631.jpg,A beginner's guide to the building blocks of digital art,Rating: 4.7 out of 5,6514 reviews,1 total hour,9 lectures,Beginner,Hardy Fowler,"-6,514",Free
,"Getting Started with Balsamiq Wireframes
Learn the basics of Balsamiq Wireframes, an invaluable tool for creating rapid user interface wireframes.Rating: 4.4 out of 55434 reviews42 total mins8 lecturesBeginner",https://www.udemy.com/course/getting-started-with-balsamiq-wireframes/,https://img-c.udemycdn.com/course/240x135/329824_9f92_9.jpg,"Learn the basics of Balsamiq Wireframes, an invaluable tool for creating rapid user interface wireframes.",Rating: 4.4 out of 5,5434 reviews,42 total mins,8 lectures,Beginner,Leon Barnard,"-5,434",Free
,"Useful Tricks & Tips in Adobe Illustrator
In this training course, you will learn a variety of useful tricks and tips to improve your skills in Adobe Illustrator.Rating: 4.7 out of 55245 reviews1 total hour16 lecturesAll Levels",https://www.udemy.com/course/useful-tricks-and-tips-in-adobe-illustrator/,https://img-c.udemycdn.com/course/240x135/511972_d53f.jpg,"In this training course, you will learn a variety of useful tricks and tips to improve your skills in Adobe Illustrator.",Rating: 4.7 out of 5,5245 reviews,1 total hour,16 lectures,All Levels,Daniel White,"-5,245",Free
,"Mobile App Design: From Sketches to Interactive Prototypes
Learn to turn UX Design sketches into an interactive prototype on your mobile in a quick and fun way using Marvel AppRating: 4.7 out of 54634 reviews2 total hours18 lecturesAll Levels",https://www.udemy.com/course/mobile-app-design-prototype/,https://img-c.udemycdn.com/course/240x135/480068_c8de.jpg,Learn to turn UX Design sketches into an interactive prototype on your mobile in a quick and fun way using Marvel App,Rating: 4.7 out of 5,4634 reviews,2 total hours,18 lectures,All Levels,Pablo Stanley,"-4,634",Free
,"User Experience (UX) Fundamentals
Learn the fundamentals of UX (user experience) design and process.Rating: 4.3 out of 54101 reviews1 total hour7 lecturesBeginner",https://www.udemy.com/course/introtoux/,https://img-c.udemycdn.com/course/240x135/217508_816c_3.jpg,Learn the fundamentals of UX (user experience) design and process.,Rating: 4.3 out of 5,4101 reviews,1 total hour,7 lectures,Beginner,"Susan Weinschenk, Ph.D.","-4,101",Free
